result: freq 2412 rssi -03, noise -95, max_magnitude 0234 max_index 029 bitmap_weight 008 tsf 37158642117 | datamax = 8464, datamin = 9, datasquaresum = 81895
signal: -134.403229, pixels: 378130448, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 3, datasquaresum: 62311, highlight: 0 
signal: -111.276276, pixels: 378130448, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 43, datasquaresum: 62311, highlight: 0 
signal: -113.316071, pixels: 378130448, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 34, datasquaresum: 62311, highlight: 0 
signal: -113.842651, pixels: 378130448, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 32, datasquaresum: 62311, highlight: 0 
signal: -117.501266, pixels: 378130448, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 62311, highlight: 0 
signal: -107.958839, pixels: 378130448, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 63, datasquaresum: 62311, highlight: 0 
signal: -118.840195, pixels: 378130448, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 18, datasquaresum: 62311, highlight: 0 
signal: -113.575371, pixels: 378130448, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 62311, highlight: 0 
signal: -115.986847, pixels: 378130448, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 25, datasquaresum: 62311, highlight: 0 
signal: -118.370575, pixels: 378130448, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 19, datasquaresum: 62311, highlight: 0 
signal: -121.023087, pixels: 378130448, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 62311, highlight: 0 
signal: -117.097198, pixels: 378130448, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 22, datasquaresum: 62311, highlight: 0 
signal: -109.460129, pixels: 378130448, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 53, datasquaresum: 62311, highlight: 0 
signal: -122.362022, pixels: 378130448, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 12, datasquaresum: 62311, highlight: 0 
signal: -105.669373, pixels: 378130448, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 82, datasquaresum: 62311, highlight: 0 
signal: -110.690491, pixels: 378130448, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 46, datasquaresum: 62311, highlight: 0 
signal: -117.501266, pixels: 378130448, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 62311, highlight: 0 
signal: -110.881393, pixels: 378130448, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 45, datasquaresum: 62311, highlight: 0 
signal: -116.711090, pixels: 378130448, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 23, datasquaresum: 62311, highlight: 0 
signal: -143.945648, pixels: 378130448, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 1, datasquaresum: 62311, highlight: 0 
signal: -104.121124, pixels: 378130448, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 98, datasquaresum: 62311, highlight: 0 
signal: -119.863251, pixels: 378130448, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 62311, highlight: 0 
signal: -110.141724, pixels: 378130448, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 49, datasquaresum: 62311, highlight: 0 
