result: freq 2412 rssi 039, noise -95, max_magnitude 0842 max_index 001 bitmap_weight 002 tsf 372478835159 | datamax = 705600, datamin = 576, datasquaresum = 876576
signal: -111.667603, pixels: 745783312, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 36, datasquaresum: 60168, highlight: 0 
signal: -112.423378, pixels: 745783312, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 60168, highlight: 0 
signal: -110.972366, pixels: 745783312, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 39, datasquaresum: 60168, highlight: 0 
signal: -125.891693, pixels: 745783312, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 7, datasquaresum: 60168, highlight: 0 
signal: -112.423378, pixels: 745783312, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 60168, highlight: 0 
signal: -113.850494, pixels: 745783312, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 28, datasquaresum: 60168, highlight: 0 
signal: -115.559097, pixels: 745783312, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 60168, highlight: 0 
signal: -111.429619, pixels: 745783312, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 37, datasquaresum: 60168, highlight: 0 
signal: -106.670059, pixels: 745783312, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 64, datasquaresum: 60168, highlight: 0 
signal: -106.945816, pixels: 745783312, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 62, datasquaresum: 60168, highlight: 0 
signal: -107.230629, pixels: 745783312, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 60, datasquaresum: 60168, highlight: 0 
signal: -116.349274, pixels: 745783312, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 21, datasquaresum: 60168, highlight: 0 
signal: -108.308136, pixels: 745783312, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 53, datasquaresum: 60168, highlight: 0 
signal: -112.423378, pixels: 745783312, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 60168, highlight: 0 
signal: -107.087059, pixels: 745783312, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 61, datasquaresum: 60168, highlight: 0 
signal: -106.670059, pixels: 745783312, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 64, datasquaresum: 60168, highlight: 0 
signal: -110.124283, pixels: 745783312, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 43, datasquaresum: 60168, highlight: 0 
signal: -127.230629, pixels: 745783312, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 6, datasquaresum: 60168, highlight: 0 
signal: -116.349274, pixels: 745783312, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 21, datasquaresum: 60168, highlight: 0 
signal: -118.711258, pixels: 745783312, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 16, datasquaresum: 60168, highlight: 0 
signal: -114.166382, pixels: 745783312, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 27, datasquaresum: 60168, highlight: 0 
signal: -112.164078, pixels: 745783312, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 34, datasquaresum: 60168, highlight: 0 
signal: -113.251228, pixels: 745783312, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 30, datasquaresum: 60168, highlight: 0 
signal: -123.708801, pixels: 745783312, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 9, datasquaresum: 60168, highlight: 0 
signal: -130.752457, pixels: 745783312, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 4, datasquaresum: 60168, highlight: 0 
signal: -114.834854, pixels: 745783312, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 60168, highlight: 0 
signal: -127.230629, pixels: 745783312, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 6, datasquaresum: 60168, highlight: 0 
signal: -116.773056, pixels: 745783312, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 20, datasquaresum: 60168, highlight: 0 
signal: -125.891693, pixels: 745783312, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 7, datasquaresum: 60168, highlight: 0 
