result: freq 2412 rssi 000, noise -95, max_magnitude 0160 max_index 029 bitmap_weight 008 tsf 344558514918 | datamax = 4096, datamin = 4, datasquaresum = 52600
signal: -115.418610, pixels: -2036867056, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 25, datasquaresum: 54669, highlight: 0 
signal: -112.251358, pixels: -2036867056, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 36, datasquaresum: 54669, highlight: 0 
signal: -109.752586, pixels: -2036867056, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 48, datasquaresum: 54669, highlight: 0 
signal: -106.727234, pixels: -2036867056, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 68, datasquaresum: 54669, highlight: 0 
signal: -122.549561, pixels: -2036867056, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 11, datasquaresum: 54669, highlight: 0 
signal: -113.274414, pixels: -2036867056, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 32, datasquaresum: 54669, highlight: 0 
signal: -107.253815, pixels: -2036867056, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 64, datasquaresum: 54669, highlight: 0 
signal: -110.708038, pixels: -2036867056, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 43, datasquaresum: 54669, highlight: 0 
signal: -119.295013, pixels: -2036867056, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 54669, highlight: 0 
signal: -109.935455, pixels: -2036867056, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 47, datasquaresum: 54669, highlight: 0 
signal: -120.454849, pixels: -2036867056, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 54669, highlight: 0 
signal: -115.077942, pixels: -2036867056, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 54669, highlight: 0 
signal: -126.475449, pixels: -2036867056, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 7, datasquaresum: 54669, highlight: 0 
signal: -113.550179, pixels: -2036867056, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 31, datasquaresum: 54669, highlight: 0 
signal: -112.251358, pixels: -2036867056, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 36, datasquaresum: 54669, highlight: 0 
signal: -113.274414, pixels: -2036867056, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 32, datasquaresum: 54669, highlight: 0 
signal: -116.933029, pixels: -2036867056, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 54669, highlight: 0 
signal: -129.398010, pixels: -2036867056, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 5, datasquaresum: 54669, highlight: 0 
signal: -108.108856, pixels: -2036867056, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 58, datasquaresum: 54669, highlight: 0 
signal: -119.855583, pixels: -2036867056, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 15, datasquaresum: 54669, highlight: 0 
signal: -112.013374, pixels: -2036867056, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 37, datasquaresum: 54669, highlight: 0 
signal: -143.377411, pixels: -2036867056, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 0, datasquaresum: 54669, highlight: 0 
signal: -113.274414, pixels: -2036867056, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 32, datasquaresum: 54669, highlight: 0 
signal: -127.814384, pixels: -2036867056, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 6, datasquaresum: 54669, highlight: 0 
signal: -112.013374, pixels: -2036867056, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 37, datasquaresum: 54669, highlight: 0 
signal: -120.454849, pixels: -2036867056, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 54669, highlight: 0 
signal: -115.077942, pixels: -2036867056, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 54669, highlight: 0 
signal: -112.747833, pixels: -2036867056, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 34, datasquaresum: 54669, highlight: 0 
signal: -127.814384, pixels: -2036867056, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 6, datasquaresum: 54669, highlight: 0 
signal: -107.177628, pixels: -2036867056, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 40, datasquaresum: 41868, highlight: 0 
signal: -101.157028, pixels: -2036867056, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 80, datasquaresum: 41868, highlight: 0 
signal: -110.275665, pixels: -2036867056, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 28, datasquaresum: 41868, highlight: 0 
signal: -114.113373, pixels: -2036867056, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 18, datasquaresum: 41868, highlight: 0 
signal: -110.275665, pixels: -2036867056, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 28, datasquaresum: 41868, highlight: 0 
signal: -113.198227, pixels: -2036867056, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 20, datasquaresum: 41868, highlight: 0 
signal: -111.614601, pixels: -2036867056, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 24, datasquaresum: 41868, highlight: 0 
