result: freq 2412 rssi 000, noise -95, max_magnitude 0103 max_index 029 bitmap_weight 034 tsf 1781255871 | datamax = 3969, datamin = 25, datasquaresum = 62420
signal: -112.604370, pixels: 1548898320, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 40, datasquaresum: 58151, highlight: 0 
signal: -116.018295, pixels: 1548898320, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 27, datasquaresum: 58151, highlight: 0 
signal: -117.411011, pixels: 1548898320, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 23, datasquaresum: 58151, highlight: 0 
signal: -111.020752, pixels: 1548898320, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 48, datasquaresum: 58151, highlight: 0 
signal: -114.015991, pixels: 1548898320, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 34, datasquaresum: 58151, highlight: 0 
signal: -118.624969, pixels: 1548898320, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 20, datasquaresum: 58151, highlight: 0 
signal: -126.583771, pixels: 1548898320, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 8, datasquaresum: 58151, highlight: 0 
signal: -119.070496, pixels: 1548898320, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 19, datasquaresum: 58151, highlight: 0 
signal: -121.123749, pixels: 1548898320, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 15, datasquaresum: 58151, highlight: 0 
signal: -112.824280, pixels: 1548898320, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 39, datasquaresum: 58151, highlight: 0 
signal: -115.397614, pixels: 1548898320, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 29, datasquaresum: 58151, highlight: 0 
signal: -110.666168, pixels: 1548898320, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 50, datasquaresum: 58151, highlight: 0 
signal: -118.624969, pixels: 1548898320, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 20, datasquaresum: 58151, highlight: 0 
signal: -112.604370, pixels: 1548898320, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 40, datasquaresum: 58151, highlight: 0 
signal: -120.563171, pixels: 1548898320, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 16, datasquaresum: 58151, highlight: 0 
signal: -117.041351, pixels: 1548898320, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 24, datasquaresum: 58151, highlight: 0 
signal: -114.818344, pixels: 1548898320, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 31, datasquaresum: 58151, highlight: 0 
signal: -120.036591, pixels: 1548898320, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 17, datasquaresum: 58151, highlight: 0 
signal: -117.411011, pixels: 1548898320, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 23, datasquaresum: 58151, highlight: 0 
signal: -111.203613, pixels: 1548898320, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 47, datasquaresum: 58151, highlight: 0 
