result: freq 2412 rssi -02, noise -95, max_magnitude 0096 max_index 029 bitmap_weight 033 tsf 2416556619 | datamax = 3600, datamin = 49, datasquaresum = 57279
signal: -120.893555, pixels: 122466320, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 14, datasquaresum: 48041, highlight: 0 
signal: -111.774918, pixels: 122466320, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 40, datasquaresum: 48041, highlight: 0 
signal: -115.516647, pixels: 122466320, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 26, datasquaresum: 48041, highlight: 0 
signal: -116.581558, pixels: 122466320, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 23, datasquaresum: 48041, highlight: 0 
signal: -119.207138, pixels: 122466320, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 17, datasquaresum: 48041, highlight: 0 
signal: -115.188843, pixels: 122466320, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 27, datasquaresum: 48041, highlight: 0 
signal: -112.220444, pixels: 122466320, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 38, datasquaresum: 48041, highlight: 0 
signal: -122.988266, pixels: 122466320, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 11, datasquaresum: 48041, highlight: 0 
signal: -120.893555, pixels: 122466320, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 14, datasquaresum: 48041, highlight: 0 
signal: -116.967667, pixels: 122466320, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 22, datasquaresum: 48041, highlight: 0 
signal: -123.816116, pixels: 122466320, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 10, datasquaresum: 48041, highlight: 0 
signal: -115.188843, pixels: 122466320, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 27, datasquaresum: 48041, highlight: 0 
signal: -128.253098, pixels: 122466320, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 6, datasquaresum: 48041, highlight: 0 
signal: -111.994827, pixels: 122466320, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 39, datasquaresum: 48041, highlight: 0 
signal: -110.012199, pixels: 122466320, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 49, datasquaresum: 48041, highlight: 0 
signal: -118.241043, pixels: 122466320, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 19, datasquaresum: 48041, highlight: 0 
signal: -110.560959, pixels: 122466320, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 46, datasquaresum: 48041, highlight: 0 
signal: -113.445847, pixels: 122466320, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 33, datasquaresum: 48041, highlight: 0 
signal: -126.914154, pixels: 122466320, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 7, datasquaresum: 48041, highlight: 0 
signal: -122.988266, pixels: 122466320, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 11, datasquaresum: 48041, highlight: 0 
signal: -114.872955, pixels: 122466320, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 28, datasquaresum: 48041, highlight: 0 
signal: -113.988892, pixels: 122466320, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 31, datasquaresum: 48041, highlight: 0 
signal: -118.710663, pixels: 122466320, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 18, datasquaresum: 48041, highlight: 0 
signal: -118.737709, pixels: 122466320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 17, datasquaresum: 68339, highlight: 0 
signal: -107.929642, pixels: 122466320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 59, datasquaresum: 68339, highlight: 0 
signal: -113.804260, pixels: 122466320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 30, datasquaresum: 68339, highlight: 0 
signal: -125.284889, pixels: 122466320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 8, datasquaresum: 68339, highlight: 0 
signal: -111.982651, pixels: 122466320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 37, datasquaresum: 68339, highlight: 0 
signal: -109.904724, pixels: 122466320, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 47, datasquaresum: 68339, highlight: 0 
signal: -111.751015, pixels: 122466320, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 38, datasquaresum: 68339, highlight: 0 
signal: -121.067818, pixels: 122466320, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 13, datasquaresum: 68339, highlight: 0 
signal: -118.737709, pixels: 122466320, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 17, datasquaresum: 68339, highlight: 0 
signal: -122.518837, pixels: 122466320, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 11, datasquaresum: 68339, highlight: 0 
signal: -113.519455, pixels: 122466320, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 31, datasquaresum: 68339, highlight: 0 
